,510300.XSHG,510500.XSHG
2014-12-01,1.0874,1.4627
2014-12-02,1.1258,1.4822
2014-12-03,1.142,1.4994
2014-12-04,1.1925,1.5311
2014-12-05,1.1994,1.4979
2014-12-08,1.2466,1.5198
2014-12-09,1.1925,1.4586
2014-12-10,1.2361,1.5088
2014-12-11,1.2229,1.531
2014-12-12,1.2272,1.5415
2014-12-15,1.2353,1.5656
2014-12-16,1.267,1.5716
2014-12-17,1.2888,1.5574
2014-12-18,1.2843,1.5574
2014-12-19,1.2986,1.5482
2014-12-22,1.303,1.4872
2014-12-23,1.2761,1.4561
2014-12-24,1.2407,1.4752
2014-12-25,1.2801,1.5037
2014-12-26,1.321,1.5199
2014-12-29,1.3249,1.5045
2014-12-30,1.3259,1.4786
2014-12-31,1.3541,1.4918
2015-01-05,1.3945,1.518
2015-01-06,1.3935,1.5354
2015-01-07,1.393,1.5377
2015-01-08,1.3612,1.5254
2015-01-09,1.3562,1.5157
2015-01-12,1.3438,1.4943
2015-01-13,1.3439,1.5144
2015-01-14,1.3392,1.5074
2015-01-15,1.3766,1.5266
2015-01-16,1.3878,1.5466
2015-01-19,1.2834,1.4808
2015-01-20,1.299,1.534
2015-01-21,1.355,1.573
2015-01-22,1.362,1.5952
2015-01-23,1.3637,1.5799
2015-01-26,1.3764,1.6154
2015-01-27,1.3642,1.6202
2015-01-28,1.3459,1.6114
2015-01-29,1.3299,1.6005
2015-01-30,1.3132,1.5812
2015-02-02,1.2841,1.5746
2015-02-03,1.3146,1.602
2015-02-04,1.3012,1.5952
2015-02-05,1.2883,1.5869
2015-02-06,1.2682,1.5534
2015-02-09,1.2805,1.545
2015-02-10,1.303,1.5661
2015-02-11,1.313,1.5832
2015-02-12,1.3163,1.5943
2015-02-13,1.3261,1.6189
2015-02-16,1.3373,1.6469
2015-02-17,1.3458,1.6584
2015-02-25,1.3296,1.6569
2015-02-26,1.3618,1.6745
2015-02-27,1.3641,1.6882
2015-03-02,1.3746,1.722
2015-03-03,1.3401,1.7161
2015-03-04,1.3485,1.7417
2015-03-05,1.3358,1.7413
2015-03-06,1.3291,1.7201
2015-03-09,1.351,1.7422
2015-03-10,1.3446,1.7601
2015-03-11,1.3459,1.7563
2015-03-12,1.3708,1.7555
2015-03-13,1.3799,1.775
2015-03-16,1.4122,1.8272
2015-03-17,1.4308,1.8555
2015-03-18,1.4629,1.8863
2015-03-19,1.4607,1.9016
2015-03-20,1.4796,1.9209
2015-03-23,1.5086,1.9674
2015-03-24,1.5093,1.9755
2015-03-25,1.4976,1.9976
2015-03-26,1.5011,1.9835
2015-03-27,1.5089,2.0063
2015-03-30,1.5512,2.0313
2015-03-31,1.5371,2.0334
2015-04-01,1.5638,2.0819
2015-04-02,1.5644,2.1198
2015-04-03,1.5813,2.153
