date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-12-01,sh.000905,5246.4280,5247.0070,5181.1000,5208.1390,5245.2670,11592338944,120869294080.0000,-0.707837
2014-12-02,sh.000905,5201.3700,5278.6480,5196.0930,5277.6570,5208.1390,10940700416,117627764736.0000,1.334797
2014-12-03,sh.000905,5284.5730,5339.2480,5245.3580,5339.0050,5277.6570,15294699008,164129648640.0000,1.162403
2014-12-04,sh.000905,5345.0070,5452.3350,5343.1250,5451.9620,5339.0050,15212197632,168985378816.0000,2.115695
2014-12-05,sh.000905,5462.7570,5464.2260,5185.3550,5333.8920,5451.9620,17243698176,192822398976.0000,-2.165639
2014-12-08,sh.000905,5310.5670,5435.7890,5266.0210,5412.6740,5333.8920,15240200192,173052968960.0000,1.477003
2014-12-09,sh.000905,5392.9470,5465.0860,5181.5170,5195.4060,5412.6740,19760866560,218570645504.0000,-4.014062
2014-12-10,sh.000905,5184.0170,5374.2270,5150.9950,5374.0970,5195.4060,13131167232,143553421312.0000,3.439412
2014-12-11,sh.000905,5366.2080,5454.9180,5341.8630,5454.4430,5374.0970,13986962688,152239235072.0000,1.495055
2014-12-12,sh.000905,5457.2280,5498.9500,5437.6550,5493.2000,5454.4430,11656282880,128461475840.0000,0.710564
2014-12-15,sh.000905,5485.1300,5588.8530,5466.7900,5583.5970,5493.2000,12968103168,148824932352.0000,1.645616
2014-12-16,sh.000905,5590.2660,5609.6810,5548.9630,5606.6930,5583.5970,12511682304,144130949120.0000,0.413635
2014-12-17,sh.000905,5597.8800,5597.8800,5488.7960,5557.2860,5606.6930,13313451008,150577864704.0000,-0.881210
2014-12-18,sh.000905,5551.0380,5598.9850,5543.4010,5558.0450,5557.2860,10713899776,123272368128.0000,0.013654
2014-12-19,sh.000905,5554.6650,5558.1760,5423.7530,5524.1220,5558.0450,13338714624,148955811840.0000,-0.610338
2014-12-22,sh.000905,5523.6610,5523.9630,5279.9600,5305.2090,5524.1220,15132753920,161634562048.0000,-3.962858
2014-12-23,sh.000905,5273.9900,5316.7170,5187.6320,5193.7220,5305.2090,9528258816,104442396672.0000,-2.101460
2014-12-24,sh.000905,5212.0690,5263.2010,5197.7210,5262.3650,5193.7220,8614574592,95316705280.0000,1.321655
2014-12-25,sh.000905,5279.2970,5365.0740,5272.3190,5364.5630,5262.3650,8976662528,100094603264.0000,1.942050
2014-12-26,sh.000905,5370.3320,5423.3460,5359.5330,5422.7510,5364.5630,10578671360,119120592896.0000,1.084673
2014-12-29,sh.000905,5436.4880,5436.4880,5330.3270,5367.6370,5422.7510,12069624064,136056913920.0000,-1.016343
2014-12-30,sh.000905,5357.3880,5366.1600,5261.6150,5275.0850,5367.6370,9891032832,114207662080.0000,-1.724264
2014-12-31,sh.000905,5274.6510,5322.7140,5241.3620,5322.7140,5275.0850,9368289792,104486027264.0000,0.902903
2015-01-05,sh.000905,5338.7520,5427.2310,5314.3390,5417.0170,5322.7140,12878760192,139343032320.0000,1.771713
2015-01-06,sh.000905,5389.9030,5482.1240,5354.3380,5479.8640,5417.0170,12375449600,140328099840.0000,1.160171
2015-01-07,sh.000905,5471.4020,5492.8250,5436.9180,5488.2420,5479.8640,9605049344,111787081728.0000,0.152895
2015-01-08,sh.000905,5482.3940,5497.7440,5418.0110,5444.0370,5488.2420,9563461632,108520980480.0000,-0.805451
