open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
4.07,4.1,4.1,4.06,3521859.0,0.02,0.49,4.042,4.023,3.987,3948429.45,3690241.08,3136446.41
4.01,4.09,4.08,4.0,5423814.5,0.06,1.49,4.02,4.017,3.978,3869641.85,3863685.63,3059629.41
4.03,4.07,4.02,4.02,4368130.0,0.0,0.0,3.996,4.007,3.969,3679168.45,3624152.48,2875616.54
3.99,4.03,4.02,3.99,3322559.5,0.03,0.75,3.996,4.002,3.962,3463102.1,3623422.43,2808668.59
3.99,4.0,3.99,3.97,3105784.25,0.0,0.0,3.996,3.989,3.958,3326974.2,3428318.38,2727281.09
3.97,3.99,3.99,3.96,3127921.0,0.03,0.76,4.004,3.98,3.955,3432052.7,3288238.86,2677611.46
4.02,4.03,3.96,3.96,4471447.5,-0.06,-1.49,4.014,3.977,3.953,3857729.4,3162442.21,2664126.17
4.02,4.05,4.02,4.01,3287798.25,0.0,0.0,4.018,3.976,3.952,3569136.5,2947518.29,2566782.61
4.03,4.03,4.02,4.01,2641920.0,-0.01,-0.25,4.008,3.971,3.946,3783742.75,2831815.41,2579746.29
4.04,4.06,4.03,4.02,3631176.75,-0.01,-0.25,3.982,3.963,3.943,3529662.55,2786829.81,2570070.62
3.98,4.07,4.04,3.97,5256304.5,0.06,1.51,3.956,3.951,3.94,3144425.02,2582651.75,2496816.94
3.97,3.99,3.98,3.95,3028483.0,0.01,0.25,3.94,3.938,3.938,2467155.02,2255573.2,2352946.21
3.92,3.98,3.97,3.92,4360829.5,0.08,2.06,3.934,3.93,3.938,2325900.07,2127080.6,2321959.7
3.9,3.9,3.89,3.89,1371519.0,-0.01,-0.26,3.934,3.922,3.936,1879888.07,1993914.75,2197813.97
3.9,3.9,3.9,3.88,1704989.12,0.01,0.26,3.944,3.926,3.94,2043997.07,2026243.8,2248531.89
3.95,3.96,3.96,3.94,1869954.5,0.01,0.25,3.946,3.93,3.943,2020878.47,2066984.06,2264290.68
3.97,3.98,3.95,3.94,2322208.25,-0.02,-0.5,3.936,3.928,3.943,2043991.37,2165810.14,2335820.28
3.94,3.97,3.97,3.94,2130769.5,0.03,0.76,3.926,3.927,3.944,1928261.12,2186046.94,2393244.33
3.92,3.95,3.94,3.92,2192064.0,0.03,0.77,3.91,3.921,3.947,2107941.42,2327677.16,2435314.01
3.9,3.91,3.91,3.89,1589396.12,0.0,0.0,3.908,3.922,3.952,2008490.52,2353311.44,2444572.06
3.89,3.91,3.91,3.87,1985519.0,0.01,0.26,3.914,3.928,3.959,2113089.65,2410982.13,2468071.73
3.89,3.91,3.9,3.89,1743557.0,0.01,0.26,3.92,3.938,3.967,2287628.9,2450319.23,2545263.63
3.92,3.93,3.89,3.87,3029171.0,-0.04,-1.02,3.928,3.945,3.974,2443832.75,2516838.8,2576069.9
3.94,3.95,3.93,3.92,1694809.5,-0.01,-0.25,3.932,3.95,3.981,2547412.9,2401713.2,2584937.04
3.94,3.95,3.94,3.92,2112391.75,0.0,0.0,3.936,3.953,3.982,2698132.35,2470819.98,2596587.94
3.95,3.96,3.94,3.92,2858215.25,0.0,0.0,3.942,3.955,3.982,2708874.6,2461597.3,2622391.41
3.92,3.94,3.94,3.9,2524576.25,0.03,0.77,3.956,3.957,3.984,2613009.55,2505830.43,2584257.44
3.96,3.99,3.91,3.89,3547071.75,-0.04,-1.01,3.962,3.96,3.986,2589844.85,2600441.73,2591745.76
3.96,3.97,3.95,3.94,2448406.75,-0.02,-0.5,3.968,3.972,3.989,2256013.5,2542950.85,2539537.56
4.01,4.01,3.97,3.96,2166103.0,-0.04,-1.0,3.97,3.982,3.988,2243507.6,2535832.68,2518200.78
3.97,4.01,4.01,3.96,2378890.0,0.04,1.01,3.968,3.99,3.986,2214320.0,2525161.33,2483808.73
3.94,3.98,3.97,3.93,2408752.75,0.03,0.76,3.958,3.995,3.984,2398651.3,2640208.03,2446931.34
3.96,3.98,3.94,3.94,1877915.0,-0.02,-0.51,3.958,4.002,3.982,2611038.6,2635301.0,2418963.33
3.96,3.98,3.96,3.95,2385877.25,0.0,0.0,3.976,4.011,3.982,2829888.2,2768160.88,2479139.12
3.96,3.97,3.96,3.94,2020165.0,0.0,0.0,3.994,4.01,3.983,2828157.75,2722355.91,2456666.65
3.96,3.98,3.96,3.94,3300546.5,-0.01,-0.25,4.012,4.009,3.984,2836002.65,2783185.51,2512841.58
4.01,4.01,3.97,3.96,3470689.25,-0.06,-1.49,4.032,4.01,3.986,2881764.75,2662684.45,2495314.51
4.08,4.08,4.03,4.03,2972163.0,-0.02,-0.49,4.046,4.012,3.988,2659563.4,2583049.8,2519607.36
4.05,4.07,4.05,4.03,2377225.0,0.0,0.0,4.046,4.005,3.986,2706433.55,2536124.28,2524009.25
4.06,4.07,4.05,4.03,2059389.5,-0.01,-0.25,4.026,3.994,3.98,2616554.07,2500568.88,2523315.63
4.04,4.1,4.06,4.03,3529357.0,0.02,0.49,4.006,3.982,3.973,2730368.37,2442456.13,2545740.98
4.03,4.05,4.04,4.02,2359682.5,0.01,0.25,3.988,3.972,3.964,2443604.15,2253654.65,2530985.06
3.94,4.03,4.03,3.93,3206513.75,0.08,2.02,3.978,3.962,3.956,2506536.2,2202625.66,2544645.13
3.96,3.97,3.95,3.94,1927827.62,0.0,0.0,3.964,3.952,3.95,2365815.0,2190117.36,2518186.49
3.97,3.97,3.95,3.94,2628461.0,-0.02,-0.5,3.962,3.956,3.948,2384583.68,2190977.39,2580342.57
